"1001.ID","collector_org","species_variant","country","name","lat","long","collector","some_date","cs","admixture_group","x","y"
6986,"Salk","Abd-0","UK","Abd",57.1539,-2.2207,"R. Mitchelson","","CS76429","western_europe","","blu_circle"
6943,"Salk","NFA-10","UK","NFA",51.4083,-0.6383,"Mick Crawley","1993-05-21 0:00:00","CS77126","western_europe","","blu_circle"
6908,"Salk","CIBC-5","UK","CIBC",51.4083,-0.6383,"Mick Crawley","1993-05-21 0:00:00","CS78894","western_europe","","blu_circle"
5718,"MPI","UKID11","UK","Braemar",57,-3.4,"Eric Holub","1992-01-01 0:00:00","CS79008","western_europe","","blu_circle"
4840,"MPI","UKSW06-240","UK","St Dennis",50.4,-4.9,"Eric Holub","2006-05-11 0:00:00","CS79000","western_europe","","blu_circle"
5210,"Monsanto","UKSE06-432","UK","Tonbridge castle",51.2,0.3,"Eric Holub","2006-05-23 0:00:00","CS78803","western_europe","","blu_circle"
6944,"Salk","NFA-8","UK","NFA",51.4083,-0.6383,"Mick Crawley","1993-05-21 0:00:00","CS78913","western_europe","","blu_circle"
5279,"MPI","UKSE06-541","UK","Cnt",51.3,1.1,"Eric Holub","2006-05-23 0:00:00","CS79004","western_europe","","blu_circle"
6923,"Salk","HR-10","UK","HR",51.4083,-0.6383,"Mick Crawley","1993-05-21 0:00:00","CS76940","western_europe","","blu_circle"
6924,"Salk","HR-5","UK","HR",51.4083,-0.6383,"Mick Crawley","1993-05-21 0:00:00","CS76514","western_europe","","blu_circle"
5349,"Monsanto","UKSE06-639","UK","Scotney Castle",51.1,0.4,"Eric Holub","2006-05-23 0:00:00","CS78807","western_europe","","blu_circle"
5395,"MPI","UKNW06-102","UK","Outgate, east side",54.4,-3,"Eric Holub","2006-06-08 0:00:00","CS79005","western_europe","","blu_circle"
9298,"Monsanto","Edi-1","UK","Edinburgh",55.9681,-3.21833,"James Beck","","CS76832","western_europe","","blu_circle"
5236,"Monsanto","UKSE06-470","UK","Paddock Wood",51.2,0.4,"Eric Holub","2006-05-23 0:00:00","CS78804","western_europe","","blu_circle"
5353,"Monsanto","UKNW06-003","UK","Dove Cottage,Wordsworth Trust, nr Grasmere",54.5,-3,"Eric Holub","2006-06-08 0:00:00","CS78792","western_europe","","blu_circle"
6966,"Salk","Sq-1","UK","SQ",51.4083,-0.6383,"Mick Crawley","1993-05-21 0:00:00","CS77266","western_europe","","blu_circle"
5776,"MPI","UKID71","UK","Stanton-by-Dale",52.9,-1.3,"Eric Holub","1992-01-01 0:00:00","CS79009","western_europe","","blu_circle"
4939,"MPI","UKSW06-341","UK","Lostwitheil",50.4,-4.7,"Eric Holub","2006-05-12 0:00:00","CS79002","western_europe","","blu_circle"
5276,"Monsanto","UKSE06-533","UK","Cnt",51.3,1.1,"Eric Holub","2006-05-05 0:00:00","CS78806","western_europe","","blu_circle"
5644,"Monsanto","UKNW06-481","UK","Windemere",54.4,-2.9,"Eric Holub","2006-06-08 0:00:00","CS78798","western_europe","","blu_circle"
4900,"Monsanto","UKSW06-302","UK","St Austel",50.3,-4.8,"Eric Holub","2006-05-11 0:00:00","CS78812","western_europe","","blu_circle"
7387,"Salk","Vind-1","UK","Vind",54.9902,-2.3671,"Maarten Koornneef","","CS76625","western_europe","","blu_circle"
4857,"MPI","UKSW06-257","UK","St Stephens",50.3,-4.9,"Eric Holub","2006-05-11 0:00:00","CS79001","western_europe","","blu_circle"
4779,"Monsanto","UKSW06-179","UK","St Columb",50.4,-4.9,"Eric Holub","2006-05-11 0:00:00","CS78808","western_europe","","blu_circle"
7109,"Salk","Ema-1","UK","Ema",51.3,0.5,"Eric Holub","","CS76480","western_europe","","blu_circle"
5577,"Monsanto","UKNW06-403","UK","Cockermouth",54.7,-3.4,"Eric Holub","2006-06-08 0:00:00","CS78797","western_europe","","blu_circle"
5717,"MPI","Bra-1","UK","Braithwaite",54.6,-3.2,"Eric Holub","1992-01-01 0:00:00","CS79007","western_europe","","blu_circle"
7064,"Salk","Cnt-1","UK","Canterbury (Sullivan garden)",51.3,1.1,"Eric Holub","","CS76467","western_europe","","blu_circle"
4884,"Monsanto","UKSW06-285","UK","St Stephens",50.3,-4.9,"Eric Holub","2006-05-11 0:00:00","CS78811","western_europe","","blu_circle"
5249,"MPI","UKSE06-491","UK","Sissinghurst Castle garden",51.2,0.3,"Eric Holub","2006-05-23 0:00:00","CS79003","western_europe","","blu_circle"
5798,"MPI","UKID93","UK","Ruthin",53.1,-3.3,"Eric Holub","1994-01-01 0:00:00","CS79010","western_europe","","blu_circle"
6967,"Salk","Sq-8","UK","SQ",51.4083,-0.6383,"Mick Crawley","1993-05-21 0:00:00","CS76604","western_europe","","blu_circle"
5779,"Monsanto","UKID74","UK","Taunton",51,-3.1,"Eric Holub","1992-01-01 0:00:00","CS78789","western_europe","","blu_circle"
5741,"Monsanto","For-2","UK","Fortingall",56.6,-4.1,"D. Ratcliffe","1959-01-01 0:00:00","CS78783","western_europe","","blu_circle"
4807,"Monsanto","UKSW06-207","UK","Indian Queen",50.4,-4.9,"Eric Holub","2006-05-11 0:00:00","CS78809","western_europe","","blu_circle"
9312,"Monsanto","Ullapool-8","UK","Ullapool",57.9,-5.1525,"James Beck","","CS78821","western_europe","","blu_circle"
4958,"Monsanto","UKSW06-360","UK","Liskeard",50.5,-4.5,"Eric Holub","2006-05-12 0:00:00","CS78814","western_europe","","blu_circle"
6989,"Salk","Alst-1","UK","Alst",54.8,-2.4333,"Maarten Koornneef","","CS76432","western_europe","","blu_circle"
5023,"Monsanto","UKSE06-118","UK","East Malling Research Station",51.3,0.5,"Eric Holub","2006-05-05 0:00:00","CS78799","western_europe","","blu_circle"
9568,"Monsanto","IP-Pan-0","ESP","",42.76,-0.23,"Carlos Alonso-Blanco","00/01/2005","CS77160","spain","","pink_circle"
9825,"Monsanto","IP-Boa-0","ESP","Boadilla del Monte",40.4,-3.88,"Carlos Alonso-Blanco","1999-12-30 0:00:00","CS76714","spain","","pink_circle"
9942,"MPI","Agu-1","ESP","",41.32,-1.34,"","12/30/99","CS76409","spain","","pink_circle"
7327,"Salk","Sf-1","ESP","Sf",41.7833,3.03333,"F. Laibach","","CS77246","spain","","pink_circle"
9855,"Monsanto","IP-Lam-0","ESP","Las Matas",40.57,-3.89,"Carlos Alonso-Blanco","1999-12-30 0:00:00","CS77008","spain","","pink_circle"
9876,"Monsanto","IP-Pad-0","ESP","Prades",41.34,0.99,"Carlos Alonso-Blanco","1999-12-30 0:00:00","CS77158","spain","","pink_circle"
9593,"Monsanto","IP-Vaz-0","ESP","",42.26,-2.99,"Carlos Alonso-Blanco","00/01/2005","CS78836","spain","","pink_circle"
9901,"Monsanto","IP-Urd-1","ESP","Urdanta",42.27,-2.98,"Carlos Alonso-Blanco","1999-12-30 0:00:00","CS78824","spain","","pink_circle"
9846,"Monsanto","IP-Ezc-2","ESP","Ezcaray",42.31,-3.02,"Carlos Alonso-Blanco","1999-12-30 0:00:00","CS76849","spain","","pink_circle"
9873,"Monsanto","IP-Ndc-0","ESP","Las Navas de la ConcepciÃ³n",37.94,-5.45,"Xavier PicÃ³","1999-12-30 0:00:00","CS77125","spain","","pink_circle"
9950,"MPI","Vie-0","ESP","",42.63,0.76,"","12/30/99","CS76418","spain","","pink_circle"
9902,"Monsanto","IP-Usa-0","ESP","Usanos",40.71,-3.24,"Carlos Alonso-Blanco","1999-12-30 0:00:00","CS78825","spain","","pink_circle"
9532,"Monsanto","IP-Cdo-0","ESP","",42.23,-4.64,"Carlos Alonso-Blanco","00/01/2004","CS76762","spain","","pink_circle"
9564,"Monsanto","IP-Nog-17","ESP","",40.45,-1.6,"Xavier PicÃ³","00/01/2004","CS77129","spain","","pink_circle"
9528,"Monsanto","IP-Cal-0","ESP","",40.94,-1.37,"Carlos Alonso-Blanco","00/01/2004","CS78890","spain","","pink_circle"
9537,"Monsanto","IP-Cum-1","ESP","",38.07,-6.66,"Carlos Alonso-Blanco","00/01/2002","CS76787","spain","","pink_circle"
9577,"Monsanto","IP-Ria-0","ESP","",42.34,2.17,"Xavier PicÃ³","00/01/2006","CS77216","spain","","pink_circle"
9520,"Monsanto","IP-Ara-4","ESP","",41.7,-3.68,"Carlos Alonso-Blanco","00/01/2006","CS76670","spain","","pink_circle"
9841,"Monsanto","IP-Ees-0","ESP","San Lorenzo del Escorial",40.59,-4.15,"Carlos Alonso-Blanco","1999-12-30 0:00:00","CS76836","spain","","pink_circle"
9868,"Monsanto","IP-Moe-0","ESP","Montseny",41.78,2.37,"Xavier PicÃ³","1999-12-30 0:00:00","CS77104","spain","","pink_circle"
9546,"Monsanto","IP-Hom-4","ESP","",40.82,-1.68,"Carlos Alonso-Blanco","00/01/2006","CS76929","spain","","pink_circle"
9856,"Monsanto","IP-Lch-0","ESP","La Chaparrita",40.51,-4,"Carlos Alonso-Blanco","1999-12-30 0:00:00","CS77010","spain","","pink_circle"
9544,"Monsanto","IP-Gua-1","ESP","",39.4,-5.33,"Carlos Alonso-Blanco","00/01/2005","CS76894","spain","","pink_circle"
9601,"Monsanto","IP-Voz-0","ESP","",41.85,-1.88,"Carlos Alonso-Blanco","00/01/2004","CS78849","spain","","pink_circle"
8264,"Salk","Bla-1","ESP","Bla",41.6833,2.8,"Albert Kranz","","CS76451","spain","","pink_circle"
9888,"Monsanto","IP-Pva-1","ESP","Puebla de Valles",40.93,-3.31,"Xavier PicÃ³","1999-12-30 0:00:00","CS77197","spain","","pink_circle"
9525,"Monsanto","IP-Bis-0","ESP","",42.49,0.54,"Xavier PicÃ³","00/01/2005","CS76711","spain","","pink_circle"
6971,"Salk","Ts-5","ESP","Ts",41.7194,2.93056,"Albert Kranz","","CS77388","spain","","pink_circle"
9567,"Monsanto","IP-Pal-0","ESP","",42.34,1.3,"Xavier PicÃ³","00/01/2006","CS77159","spain","","pink_circle"
9535,"Monsanto","IP-Coc-1","ESP","",42.31,3.19,"Xavier PicÃ³","00/01/2005","CS76776","spain","","pink_circle"
9560,"Monsanto","IP-Mot-0","ESP","",38.19,-6.24,"Carlos Alonso-Blanco","00/01/2005","CS77109","spain","","pink_circle"
9586,"Monsanto","IP-Tam-0","ESP","",41.03,-3.27,"Carlos Alonso-Blanco","00/01/2004","CS77340","spain","","pink_circle"
9886,"Monsanto","IP-Pru-0","ESP","Prullans",42.38,1.73,"Xavier PicÃ³","1999-12-30 0:00:00","CS77190","spain","","pink_circle"
9582,"Monsanto","IP-Ses-0","ESP","",41.48,-1.63,"Carlos Alonso-Blanco","00/01/2005","CS77244","spain","","pink_circle"
9861,"Monsanto","IP-Mac-0","ESP","Marchamalo",40.72,-3.21,"Carlos Alonso-Blanco","1999-12-30 0:00:00","CS77061","spain","","pink_circle"
9844,"Monsanto","IP-Esn-2","ESP","Escanilla",42.27,0.19,"Carlos Alonso-Blanco","1999-12-30 0:00:00","CS76846","spain","","pink_circle"
9850,"Monsanto","IP-Hec-0","ESP","Hecho",42.86,-0.7,"Carlos Alonso-Blanco","1999-12-30 0:00:00","CS76917","spain","","pink_circle"
9540,"Monsanto","IP-Elb-0","ESP","",41.81,2.34,"Xavier PicÃ³","00/01/2005","CS76838","spain","","pink_circle"
9822,"Monsanto","IP-Aul-0","ESP","Aulencia",40.52,-4.02,"Carlos Alonso-Blanco","1999-12-30 0:00:00","CS76675","spain","","pink_circle"
9519,"Monsanto","IP-Ang-0","ESP","",41.94,2.64,"Xavier PicÃ³","00/01/2005","CS78886","spain","","pink_circle"
